LocationID,Borough,Zone,service_zone,Hospital
233,Manhattan,UN/Turtle Bay South,Yellow Zone,0
234,Manhattan,Union Sq,Yellow Zone,0
236,Manhattan,Upper East Side North,Yellow Zone,1
237,Manhattan,Upper East Side South,Yellow Zone,1
238,Manhattan,Upper West Side North,Yellow Zone,1
239,Manhattan,Upper West Side South,Yellow Zone,1
243,Manhattan,Washington Heights North,Boro Zone,1
244,Manhattan,Washington Heights South,Boro Zone,1
246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,0
249,Manhattan,West Village,Yellow Zone,0
261,Manhattan,World Trade Center,Yellow Zone,0
262,Manhattan,Yorkville East,Yellow Zone,0
263,Manhattan,Yorkville West,Yellow Zone,0
2,Queens,Jamaica Bay,Boro Zone,0
7,Queens,Astoria,Boro Zone,1
8,Queens,Astoria Park,Boro Zone,0
9,Queens,Auburndale,Boro Zone,0
10,Queens,Baisley Park,Boro Zone,0
15,Queens,Bay Terrace/Fort Totten,Boro Zone,0
16,Queens,Bayside,Boro Zone,0
19,Queens,Bellerose,Boro Zone,0
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,0
28,Queens,Briarwood/Jamaica Hills,Boro Zone,0
30,Queens,Broad Channel,Boro Zone,0
38,Queens,Cambria Heights,Boro Zone,0
53,Queens,College Point,Boro Zone,0
56,Queens,Corona,Boro Zone,0
57,Queens,Corona,Boro Zone,0
64,Queens,Douglaston,Boro Zone,0
70,Queens,East Elmhurst,Boro Zone,0
73,Queens,East Flushing,Boro Zone,1
82,Queens,Elmhurst,Boro Zone,1
83,Queens,Elmhurst/Maspeth,Boro Zone,0
86,Queens,Far Rockaway,Boro Zone,1
92,Queens,Flushing,Boro Zone,1
93,Queens,Flushing Meadows-Corona Park,Boro Zone,0
95,Queens,Forest Hills,Boro Zone,0
96,Queens,Forest Park/Highland Park,Boro Zone,0
98,Queens,Fresh Meadows,Boro Zone,0
101,Queens,Glen Oaks,Boro Zone,1
102,Queens,Glendale,Boro Zone,0
117,Queens,Hammels/Arverne,Boro Zone,0
121,Queens,Hillcrest/Pomonok,Boro Zone,0
122,Queens,Hollis,Boro Zone,0
124,Queens,Howard Beach,Boro Zone,0
129,Queens,Jackson Heights,Boro Zone,0
130,Queens,Jamaica,Boro Zone,0
131,Queens,Jamaica Estates,Boro Zone,0
132,Queens,JFK Airport,Airports,0
134,Queens,Kew Gardens,Boro Zone,0
135,Queens,Kew Gardens Hills,Boro Zone,0
138,Queens,LaGuardia Airport,Airports,0
139,Queens,Laurelton,Boro Zone,0
145,Queens,Long Island City/Hunters Point,Boro Zone,0
146,Queens,Long Island City/Queens Plaza,Boro Zone,0
157,Queens,Maspeth,Boro Zone,0
160,Queens,Middle Village,Boro Zone,0
171,Queens,Murray Hill-Queens,Boro Zone,0
173,Queens,North Corona,Boro Zone,0
175,Queens,Oakland Gardens,Boro Zone,0
179,Queens,Old Astoria,Boro Zone,1
180,Queens,Ozone Park,Boro Zone,0
191,Queens,Queens Village,Boro Zone,0
192,Queens,Queensboro Hill,Boro Zone,0
193,Queens,Queensbridge/Ravenswood,Boro Zone,0
196,Queens,Rego Park,Boro Zone,0
197,Queens,Richmond Hill,Boro Zone,0
198,Queens,Ridgewood,Boro Zone,0
201,Queens,Rockaway Park,Boro Zone,0
203,Queens,Rosedale,Boro Zone,0
205,Queens,Saint Albans,Boro Zone,0
207,Queens,Saint Michaels Cemetery/Woodside,Boro Zone,0
215,Queens,South Jamaica,Boro Zone,0
216,Queens,South Ozone Park,Boro Zone,0
218,Queens,Springfield Gardens North,Boro Zone,0
219,Queens,Springfield Gardens South,Boro Zone,0
223,Queens,Steinway,Boro Zone,0
226,Queens,Sunnyside,Boro Zone,0
252,Queens,Whitestone,Boro Zone,0
253,Queens,Willets Point,Boro Zone,0
258,Queens,Woodhaven,Boro Zone,0
260,Queens,Woodside,Boro Zone,0
5,Staten Island,Arden Heights,Boro Zone,0
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,0
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,0
44,Staten Island,Charleston/Tottenville,Boro Zone,0
84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,1
99,Staten Island,Freshkills Park,Boro Zone,0
109,Staten Island,Great Kills,Boro Zone,0
110,Staten Island,Great Kills Park,Boro Zone,0
115,Staten Island,Grymes Hill/Clifton,Boro Zone,0
118,Staten Island,Heartland Village/Todt Hill,Boro Zone,0
156,Staten Island,Mariners Harbor,Boro Zone,0
172,Staten Island,New Dorp/Midland Beach,Boro Zone,1
176,Staten Island,Oakwood,Boro Zone,0
187,Staten Island,Port Richmond,Boro Zone,0
204,Staten Island,Rossville/Woodrow,Boro Zone,0
206,Staten Island,Saint George/New Brighton,Boro Zone,0
214,Staten Island,South Beach/Dongan Hills,Boro Zone,1
221,Staten Island,Stapleton,Boro Zone,0
245,Staten Island,West Brighton,Boro Zone,1
251,Staten Island,Westerleigh,Boro Zone,0
264,Unknown,NV,N/A,0
265,Unknown,NA,N/A,0
